date,open,high,low,close,volume
2025-07-15,209.22,211.89,208.92,209.11,42296339
2025-07-16,210.3,212.4,208.64,210.16,47490532
2025-07-17,210.57,211.8,209.59,210.02,48068141
2025-07-18,210.87,211.79,209.7,211.18,48974600
2025-07-21,212.1,215.78,211.63,212.48,51377434
2025-07-22,213.14,214.95,212.23,214.4,46404100
2025-07-23,215,215.15,212.41,214.15,46989301
2025-07-24,213.9,215.69,213.53,213.76,46022620
2025-07-25,214.7,215.24,213.4,213.88,40268800
2025-07-28,214.03,214.85,213.06,214.05,37858017
2025-07-29,214.18,214.81,210.82,211.27,51411723
2025-07-30,211.9,212.39,207.72,209.05,45512514
2025-07-31,208.49,209.84,207.16,207.57,80698431
2025-08-01,210.87,213.58,201.5,202.38,104434500
2025-08-04,204.51,207.88,201.68,203.35,75109300
2025-08-05,203.4,205.34,202.16,202.92,44155100
2025-08-06,205.63,215.38,205.59,213.25,108483103
2025-08-07,218.88,220.85,216.58,220.03,90224834
2025-08-08,220.83,231,219.25,229.35,113854000
2025-08-11,227.92,229.56,224.76,227.18,61806132
2025-08-12,228.01,230.8,227.07,229.65,55672301
2025-08-13,231.07,235,230.43,233.33,69878546
2025-08-14,234.06,235.12,230.85,232.78,51916300
2025-08-15,234,234.28,229.34,231.59,56038700
2025-08-18,231.7,233.12,230.11,230.89,37476200
2025-08-19,231.28,232.87,229.35,230.56,39402600
2025-08-20,229.98,230.47,225.77,226.01,42263900
2025-08-21,226.27,226.52,223.78,224.9,30621249
2025-08-22,226.17,229.09,225.41,227.76,42477811
2025-08-25,226.48,229.3,226.23,227.16,30983133
2025-08-26,226.87,229.49,224.69,229.31,54575107
2025-08-27,228.61,230.9,228.26,230.49,31259513
2025-08-28,230.82,233.41,229.34,232.56,38074700
2025-08-29,232.51,233.38,231.37,232.14,39418437
2025-09-02,229.25,230.85,226.97,229.72,44075638
2025-09-03,237.21,238.85,234.36,238.47,66427835
2025-09-04,238.45,239.9,236.74,239.78,47549429
2025-09-05,240,241.32,238.49,239.69,54870400
2025-09-08,239.3,240.15,236.34,237.88,48999500
2025-09-09,237,238.78,233.36,234.35,66313918
2025-09-10,232.19,232.42,225.95,226.79,83440810
2025-09-11,226.88,230.45,226.65,230.03,50208600
2025-09-12,229.22,234.51,229.02,234.07,55824216
2025-09-15,237,238.19,235.03,236.7,42699524
2025-09-16,237.18,241.22,236.32,238.15,63421100
2025-09-17,238.97,240.1,237.73,238.99,46508017
2025-09-18,239.97,241.2,236.65,237.88,44249600
2025-09-19,241.23,246.3,240.21,245.5,163741314
2025-09-22,248.3,256.64,248.12,256.08,105517416
2025-09-23,255.88,257.34,253.58,254.43,60275200
2025-09-24,255.22,255.74,251.04,252.31,42303710
2025-09-25,253.21,257.17,251.71,256.87,55202100
2025-09-26,254.1,257.6,253.78,255.46,46076300
2025-09-29,254.56,255,253.01,254.43,40127700
2025-09-30,254.86,255.92,253.11,254.63,37704300
2025-10-01,255.04,258.79,254.93,255.45,48713940
2025-10-02,256.58,258.18,254.15,257.13,42630239
2025-10-03,254.67,259.24,253.95,258.02,49155614
2025-10-06,257.99,259.07,255.05,256.69,44664118
2025-10-07,256.81,257.4,255.43,256.48,31955800
2025-10-08,256.52,258.52,256.11,258.06,36496900
2025-10-09,257.81,258,253.14,254.04,38322012
2025-10-10,254.94,256.38,244,245.27,61999100
2025-10-13,249.38,249.69,245.56,247.66,38142942
2025-10-14,246.6,248.85,244.7,247.77,35478000
2025-10-15,249.49,251.82,247.47,249.34,33893611
2025-10-16,248.25,249.04,245.13,247.45,39777000
2025-10-17,248.02,253.38,247.27,252.29,49147000
2025-10-20,255.89,264.38,255.63,262.24,90483029
2025-10-21,261.88,265.29,261.83,262.77,46695948
2025-10-22,262.65,262.85,255.43,258.45,45015300
2025-10-23,259.94,260.62,258.01,259.58,32754941
2025-10-24,261.19,264.13,259.18,262.82,38253717
2025-10-27,264.88,269.12,264.65,268.81,44888200
2025-10-28,268.99,269.89,268.15,269,41534800
2025-10-29,269.27,271.41,267.11,269.7,51086742
2025-10-30,271.99,274.14,268.48,271.4,69886534
2025-10-31,276.99,277.32,269.16,270.37,86167123
2025-11-03,270.42,270.85,266.25,269.05,50194600
2025-11-04,268.33,271.49,267.62,270.04,49274846
2025-11-05,268.61,271.7,266.93,270.14,43683100
2025-11-06,267.89,273.4,267.89,269.77,51204045
2025-11-07,269.8,272.29,266.77,268.47,48227400
2025-11-10,268.96,273.73,267.46,269.43,41312412
2025-11-11,269.81,275.91,269.8,275.25,46208318
2025-11-12,275,275.73,271.7,273.47,48398000
2025-11-13,274.11,276.7,272.09,272.95,49602800
2025-11-14,271.05,275.96,269.6,272.41,47431331
2025-11-17,268.82,270.49,265.73,267.46,45018300
2025-11-18,269.99,270.71,265.32,267.44,45677300
2025-11-19,265.52,272.21,265.5,268.56,40424500
2025-11-20,270.83,275.43,265.92,266.25,45823600
2025-11-21,265.95,273.33,265.67,271.49,59030832
2025-11-24,270.9,277,270.9,275.92,65585800
2025-11-25,275.27,280.38,275.25,276.97,46914220
2025-11-26,276.96,279.53,276.63,277.55,33431423
2025-11-28,277.26,279,275.99,278.85,20135620
2025-12-01,278.01,283.42,276.14,283.1,46587722
2025-12-02,283,287.4,282.63,286.19,53669532
2025-12-03,286.2,288.62,283.3,284.15,43538700
2025-12-04,284.1,284.73,278.59,280.7,43989100
2025-12-05,280.54,281.14,278.05,278.78,47265845
2025-12-08,278.13,279.67,276.15,277.89,38211832
2025-12-09,278.16,280.03,276.92,277.18,32193300
2025-12-10,277.75,279.75,276.44,278.78,33038318
2025-12-11,279.1,279.59,273.81,278.03,33248000
2025-12-12,277.9,279.22,276.82,278.28,39532900
2025-12-15,280.15,280.15,272.84,274.11,50409100
2025-12-16,272.82,275.5,271.79,274.61,37648628
2025-12-17,275.01,276.16,271.64,271.84,50138743
2025-12-18,273.61,273.63,266.95,272.19,51630721
2025-12-19,272.15,274.6,269.9,273.67,144632048
2025-12-22,272.86,273.88,270.51,270.97,36571827
2025-12-23,270.84,272.5,269.56,272.36,29642000
2025-12-24,272.34,275.43,272.2,273.81,17910600
2025-12-26,274.16,275.37,272.86,273.4,21521802
2025-12-29,272.69,274.36,272.35,273.76,23715213
2025-12-30,272.81,274.08,272.28,273.08,22139617
2025-12-31,273.06,273.68,271.75,271.86,27293639
2026-01-02,272.26,277.84,269,271.01,37838100
2026-01-05,270.64,271.51,266.14,267.26,45647200
2026-01-06,267,267.55,262.12,262.36,52352100
2026-01-07,263.2,263.68,259.81,260.33,48309804
2026-01-08,257.02,259.29,255.7,259.04,50419337
2026-01-09,259.08,260.21,256.22,259.37,39997000
2026-01-12,259.16,261.3,256.8,260.25,45263800
2026-01-13,258.72,261.81,258.39,261.05,45730847
2026-01-14,259.49,261.82,256.71,259.96,40019421
2026-01-15,260.65,261.04,257.05,258.21,39388600
2026-01-16,257.9,258.9,254.93,255.53,72142800
2026-01-20,252.73,254.79,243.42,246.7,80267517
2026-01-21,248.7,251.56,245.18,247.65,54641725
2026-01-22,249.2,251,248.15,248.35,39708340
2026-01-23,247.32,249.41,244.68,248.04,41689000
2026-01-26,251.48,256.56,249.8,255.41,55969234
2026-01-27,259.17,261.95,258.21,258.27,49648300
2026-01-28,257.65,258.86,254.51,256.44,41288000
2026-01-29,258,259.65,254.41,258.28,67253009
2026-01-30,255.17,261.9,252.18,259.48,92443408
2026-02-02,260.03,270.49,259.21,270.01,73913425
2026-02-03,269.2,271.88,267.61,269.48,64394700
2026-02-04,272.29,278.95,272.29,276.49,90545710
2026-02-05,278.13,279.5,273.23,275.91,52977441
2026-02-06,277.12,280.9,276.93,278.12,50453414
2026-02-09,277.9,278.2,271.7,274.62,44623400
2026-02-10,274.89,275.37,272.94,273.68,34376900
2026-02-11,274.7,280.18,274.45,275.5,51931300
2026-02-12,275.59,275.72,260.18,261.73,81077229
2026-02-13,262.01,262.23,255.45,255.78,56290700
2026-02-17,258.05,266.29,255.54,263.88,58469100
2026-02-18,263.6,266.82,262.45,264.35,34203337
2026-02-19,262.6,264.48,260.05,260.58,30845300
2026-02-20,258.97,264.75,258.16,264.58,42070500
2026-02-23,263.49,269.43,263.38,266.18,37308200
2026-02-24,267.86,274.89,267.71,272.14,47014619
2026-02-25,271.78,274.94,271.05,274.23,33714342
2026-02-26,274.95,276.11,270.8,272.95,32345114
2026-02-27,272.81,272.81,262.89,264.18,72366505
2026-03-02,262.41,266.53,260.2,264.72,41827946
2026-03-03,263.48,265.56,260.13,263.75,38568921
2026-03-04,264.65,266.15,261.42,262.52,39803119
2026-03-05,260.79,261.56,257.25,260.29,49658626
2026-03-06,258.63,258.77,254.37,257.46,41120042
2026-03-09,255.69,261.15,253.68,259.88,38218533
2026-03-10,257.65,262.48,256.95,260.83,30590800
2026-03-11,261.09,262.13,259.55,260.81,26218927
2026-03-12,258.66,258.95,254.18,255.76,40794020
2026-03-13,255.48,256.33,249.52,250.12,36930000
2026-03-16,252.11,253.89,249.88,252.82,32074209
2026-03-17,252.96,255.13,252.18,254.23,32361607
2026-03-18,252.63,254.94,249,249.94,35757900
2026-03-19,249.4,251.83,247.3,248.96,34864100
2026-03-20,247.98,249.2,246,247.99,88331100
2026-03-23,253.97,254.6,250.28,251.49,40546109
2026-03-24,250.35,254.83,249.55,251.64,45152300
2026-03-25,254.1,255,251.6,252.62,28476700
2026-03-26,252.12,257,250.77,252.89,41796700
2026-03-27,253.9,255.49,248.07,248.8,47900000
2026-03-30,250.07,250.87,245.51,246.63,39446213
2026-03-31,247.91,255.48,247.1,253.79,49598100
2026-04-01,254.08,256.18,253.33,255.63,40059432
2026-04-02,254.2,256.13,250.65,255.92,31289400
2026-04-06,256.51,262.16,256.46,258.86,29329911
2026-04-07,256.15,256.2,245.7,253.5,62148008
2026-04-08,258.45,259.75,256.53,258.9,41032800
2026-04-09,259,261.12,256.07,260.49,28121600
2026-04-10,259.98,262.19,259.02,260.48,31291500
2026-04-13,259.73,260.18,256.66,259.2,36234700
2026-04-14,259.25,261.93,257.19,258.83,48370710
2026-04-15,258.16,266.56,257.81,266.43,49913510
2026-04-16,266.8,267.16,261.27,263.4,43323112
2026-04-17,266.96,272.3,266.72,270.23,61436228
2026-04-20,270.33,274.27,270.29,273.05,36590200
2026-04-21,271.5,272.8,265.4,266.17,50209800
2026-04-22,267.82,273.74,266.87,273.17,43249204
2026-04-23,275.05,275.77,271.65,273.43,33399639
2026-04-24,272.76,273.06,269.65,271.06,38157110
2026-04-27,266.09,268.36,265.07,267.61,41466800
2026-04-28,272.33,273.23,268.66,270.71,40018940
2026-04-29,267.55,271.04,267.04,270.22,30047900
2026-04-30,270.5,276,268.14,271.35,91848230
2026-05-01,278.86,287.22,278.37,280.14,79915442
2026-05-04,279.65,280.63,274.86,276.83,46668401
2026-05-05,276.93,284.57,276.5,284.18,49311712
2026-05-06,281.92,288.03,281.07,287.51,58336100
2026-05-07,289.27,292.13,285.78,287.44,45224300
2026-05-08,290.01,294.76,290,293.32,52692800
2026-05-11,291.98,293.88,290.23,292.68,42247300
2026-05-12,292.56,295.27,292.56,294.8,45748129
2026-05-13,293.5,300.92,293.5,298.87,52684300
2026-05-14,299.82,300.45,295.38,298.21,35324922
2026-05-15,297.9,303.2,296.52,300.23,54862836
2026-05-18,300.24,300.66,294.91,297.84,34483000
2026-05-19,296.97,300.51,296.35,298.97,42243600
2026-05-20,298.18,302.8,298.08,302.25,38229843
2026-05-21,301.06,305.54,300.4,304.99,42965126
2026-05-22,306.12,311.4,305.84,308.82,43670223
2026-05-26,309.56,311.82,307.67,308.33,48000500
2026-05-27,308.33,313.26,308.3,310.85,50430919
2026-05-28,310.68,312.8,309.57,312.51,48220400
2026-05-29,311.77,315,309.53,312.06,70026800
2026-06-01,309.63,310.94,305.02,306.31,48849933
2026-06-02,307.46,315.45,306.69,315.2,44534716
2026-06-03,314.18,316.94,308.85,310.26,50836705
2026-06-04,313.23,313.54,309.65,311.23,44869134
2026-06-05,312.86,315.17,307.15,307.34,65310502
2026-06-08,308.74,317.4,301.17,301.54,77949100
2026-06-09,300.27,300.75,287.78,290.55,70108847
2026-06-10,290.74,294.75,287.38,291.58,52793300
2026-06-11,293.72,297,289.59,295.63,42572500
2026-06-12,296.03,297.14,289.62,291.13,38784789
2026-06-15,294.12,297.78,291.7,296.42,45732600
2026-06-16,295.25,300.48,293.97,299.24,39874404
2026-06-17,300.85,302.07,294.36,295.95,42745100
2026-06-18,298.11,300.57,295.62,298.01,85962201
2026-06-22,297.31,302.42,296.76,297.01,44879914
2026-06-23,297.54,301.64,294.18,294.3,52010929
2026-06-24,295.36,299.7,292.94,293.08,53081900
2026-06-25,287.4,288.8,273.75,275.15,107253700
2026-06-26,275,285.95,274.21,283.78,261775500
2026-06-29,286.73,288.37,279.85,281.74,66427002
2026-06-30,281.17,289.94,280.7,289.36,65100200
2026-07-01,293.44,296.59,289.2,294.38,50164232
2026-07-02,294.12,309.42,293.68,308.63,75400626
2026-07-06,307.36,314.2,307,312.66,53590000
2026-07-07,315.29,315.48,310.15,310.66,42490002
2026-07-08,311.91,314.82,307.05,313.39,41323500
2026-07-09,310.51,316.53,308.16,316.22,48124500
2026-07-10,314.72,316.91,312.17,315.32,34132321
2026-07-13,317.02,323.45,315.78,317.31,43257804
2026-07-14,313.76,316.19,311.91,314.86,36336829
