date,open,high,low,close,volume
2025-07-15,153.75,158.68,153.56,155.61,93370100
2025-07-16,155.31,160.36,152.85,160.08,59492800
2025-07-17,161.81,161.96,158.68,160.41,50605117
2025-07-18,159.59,160.83,155.81,156.99,48859835
2025-07-21,157.62,160.34,156.92,157,39021130
2025-07-22,156.2,156.23,149.34,154.72,49028017
2025-07-23,156.32,159.45,156,158.65,41510900
2025-07-24,159.12,163.93,158.36,162.12,48440112
2025-07-25,163.51,167.18,162.36,166.47,53432300
2025-07-28,169.08,174.7,168.67,173.66,68267835
2025-07-29,175.21,182.31,174.68,177.44,108154838
2025-07-30,175.61,180.37,173.8,179.51,64820300
2025-07-31,182.02,182.5,173,176.31,71765300
2025-08-01,170.16,174.4,166.82,171.7,75396130
2025-08-04,174.61,177.86,173.56,176.78,52951044
2025-08-05,177.57,177.99,171.8,174.31,88808520
2025-08-06,165.05,166.18,157.8,163.12,133641835
2025-08-07,166.84,175.75,166.7,172.4,95448310
2025-08-08,174.04,176.48,170.52,172.76,68866700
2025-08-11,170.04,178.82,169.38,172.28,70651033
2025-08-12,173.32,175.16,168.5,174.95,52335746
2025-08-13,179.91,186.65,179.38,184.42,108305129
2025-08-14,179.83,185.44,179.56,180.95,66308821
2025-08-15,180.06,180.14,176.25,177.51,51543136
2025-08-18,176.76,178.8,174.36,176.14,35937528
2025-08-19,173.1,173.17,166.1,166.55,64455006
2025-08-20,164.1,166.65,158.25,165.2,60233226
2025-08-21,165.86,165.88,162.26,163.71,37880500
2025-08-22,162.17,168.53,161.8,167.76,43998605
2025-08-25,165.55,165.59,161.72,163.36,36134700
2025-08-26,168.65,169.77,164.91,166.62,52138600
2025-08-27,166.04,167.68,164.65,167.13,37031044
2025-08-28,168.5,170.99,166.65,168.58,36285200
2025-08-29,166.81,168.57,161.9,162.63,37516824
2025-09-02,158.42,162.39,156.62,162.32,38656131
2025-09-03,161.81,164.75,160.58,162.13,30752800
2025-09-04,159.94,162.05,157.79,161.79,32103500
2025-09-05,157.12,157.14,150.18,151.14,78256000
2025-09-08,151.8,152.64,149.22,151.41,41849000
2025-09-09,151.99,156.66,151.93,155.82,42802500
2025-09-10,163.54,164.53,158,159.54,52465300
2025-09-11,158.62,160.21,154.99,155.67,48817715
2025-09-12,157,160.41,154.92,158.57,42232800
2025-09-15,160.01,162.3,157.6,161.16,36808726
2025-09-16,161.37,161.95,159.22,160.46,27946500
2025-09-17,159.28,161.63,155.76,159.16,41823842
2025-09-18,150.96,158.77,149.85,157.92,84549500
2025-09-19,157.38,159.84,155.9,157.39,55448100
2025-09-22,157.42,162.68,157.42,159.79,46505500
2025-09-23,160.52,163.39,159.21,160.9,39448320
2025-09-24,162.98,165.1,158.43,160.88,38464120
2025-09-25,157.14,161.63,154.78,161.27,36809900
2025-09-26,160.52,162.11,157.05,159.46,30316931
2025-09-29,160.12,164.3,159.9,161.36,39828800
2025-09-30,160.79,162.28,159.33,161.79,29669331
2025-10-01,160.93,164.18,160.49,164.01,39895200
2025-10-02,168.68,171.06,166.12,169.73,55475228
2025-10-03,170.68,170.68,163.14,164.67,42699147
2025-10-06,226.45,226.71,203.01,203.71,248859600
2025-10-07,214.85,218.9,209.28,211.51,115748143
2025-10-08,212.95,235.87,210.7,235.56,159983500
2025-10-09,236.3,240.1,229.53,232.89,94290740
2025-10-10,232.77,234.22,213.2,214.9,118656636
2025-10-13,220.2,224.19,214.9,216.42,63104021
2025-10-14,219.2,224.98,215.9,218.09,71216300
2025-10-15,222.71,239.24,220.76,238.6,108481000
2025-10-16,236.29,241.2,232.24,234.56,69726437
2025-10-17,233.26,235.38,227.91,233.08,55804203
2025-10-20,236.47,242.88,234.4,240.56,56741700
2025-10-21,239.39,242.26,234.02,238.03,47122400
2025-10-22,236.85,240.13,224.88,230.23,59668800
2025-10-23,230.16,235.9,228.54,234.99,39024429
2025-10-24,243.36,253.39,241.95,252.92,71221144
2025-10-27,257.88,260.42,249.8,259.67,65613111
2025-10-28,259.14,264.58,257,258.01,47448700
2025-10-29,264.19,267.08,257.4,264.33,49335600
2025-10-30,259.92,263.88,252.31,254.84,45162500
2025-10-31,259.6,262.13,253.41,256.12,34449205
2025-11-03,259.33,260.91,253.89,259.65,36351420
2025-11-04,250.35,257.38,247.39,250.05,56491830
2025-11-05,243.24,259.65,242.81,256.33,67366600
2025-11-06,253.47,253.51,235.74,237.7,66049700
2025-11-07,230.94,235.87,224.64,233.54,52162600
2025-11-10,242.14,248.9,240.5,243.98,43361641
2025-11-11,241.66,248.46,234.64,237.52,61336800
2025-11-12,253.13,263.51,250,258.89,108942000
2025-11-13,251.9,259.63,246.06,247.96,63178600
2025-11-14,240.11,253.44,235.08,246.81,47655644
2025-11-17,242.75,248.77,237.15,240.52,37942206
2025-11-18,236.78,238,224.71,230.29,45619900
2025-11-19,230.26,235.28,219.71,223.55,52093445
2025-11-20,232.7,234.25,204.53,206.02,66342900
2025-11-21,208.81,208.83,195,203.78,67421145
2025-11-24,207.16,217.13,205.85,215.05,46749600
2025-11-25,201.48,206.58,194.28,206.13,69773500
2025-11-26,210.05,215.59,207,214.24,43270240
2025-11-28,216.14,218.3,214.02,217.53,18658000
2025-12-01,213.88,220.98,213.5,219.76,30768722
2025-12-02,221.79,225.98,214.39,215.24,42002500
2025-12-03,216.26,218.2,211.77,217.6,28545200
2025-12-04,216.88,219.12,214.14,215.98,24478204
2025-12-05,217.17,223.64,216.24,217.97,33292400
2025-12-08,219.09,223.71,218.36,221.11,30943200
2025-12-09,221.04,224.84,217.91,221.62,25166128
2025-12-10,222,222.61,218.67,221.42,23279400
2025-12-11,217.81,221.5,210.19,221.43,30694649
2025-12-12,218.37,222.49,209.06,210.78,37073910
2025-12-15,212.28,215.36,206.58,207.58,27222200
2025-12-16,206.92,210.22,205.11,209.17,23467600
2025-12-17,210.04,211.5,197.53,198.11,31595409
2025-12-18,203.82,206.36,200.5,201.06,29720136
2025-12-19,204.6,215.18,204.2,213.43,58445500
2025-12-22,220,220.17,213.31,214.95,24950728
2025-12-23,212.86,217.03,212.28,214.9,20272300
2025-12-24,214.98,216.54,213.97,215.04,7956800
2025-12-26,215.43,216.83,213.03,214.99,15792600
2025-12-29,211.58,216.05,209.24,215.61,20326900
2025-12-30,215.87,216.82,214.33,215.34,16409600
2025-12-31,215.82,217.64,213.8,214.16,17591600
2026-01-02,218.9,227.15,218.9,223.47,36446200
2026-01-05,230.25,234.02,220.48,221.08,31941147
2026-01-06,222.71,222.92,211.25,214.35,40033208
2026-01-07,212.13,212.13,207.17,210.02,29715500
2026-01-08,210.9,210.94,203.33,204.68,27505031
2026-01-09,205.72,207.3,203.07,203.17,24217339
2026-01-12,201.18,209.88,199.8,207.69,27287300
2026-01-13,215.1,223.11,214.98,220.97,56894937
2026-01-14,217.54,224.09,215.11,223.6,40466520
2026-01-15,227.9,238.35,227.22,227.92,55270210
2026-01-16,234.3,234.49,228.86,231.83,42545614
2026-01-20,226.08,239.5,225.41,231.92,44327712
2026-01-21,235.99,252.9,235.78,249.8,62385600
2026-01-22,251.75,256.08,246.63,253.73,37945005
2026-01-23,261.18,266.96,256.25,259.68,47525928
2026-01-26,256.75,258.29,250.3,251.31,30672500
2026-01-27,252.16,255.55,247.96,252.03,25691600
2026-01-28,254.13,257.4,250.21,252.74,27061200
2026-01-29,254.66,260.53,240.91,252.18,31685200
2026-01-30,236.93,245.24,234.55,236.73,40035700
2026-02-02,235.77,249.97,235,246.27,36308106
2026-02-03,251.55,252.65,237.04,242.11,53097100
2026-02-04,215,218.58,199.15,200.19,107173300
2026-02-05,201.86,204.04,190.72,192.5,62196419
