date,open,high,low,close,volume
2025-07-15,119863.71,119973.3,115697.37,117781.64,98321661181
2025-07-16,117781.63,120134.8,117033.23,118681.68,72238505984
2025-07-17,118681.67,120998.76,117469,119273.69,74196590592
2025-07-18,119273.7,120918.68,116892.42,118023.05,77945799785
2025-07-19,118023.06,118564.59,117337.59,117914.17,47564562765
2025-07-20,117914.17,118921.76,116525,117312.7,61006045184
2025-07-21,117315.68,119745.93,116565.01,117428.79,69820091744
2025-07-22,117428.79,120300,116185,120026.42,79217583118
2025-07-23,120034.21,120180.93,117342.21,118810.44,66608604537
2025-07-24,118810.44,119557.7,117190,118397.04,81919139840
2025-07-25,118400,118518.2,114750,117633.27,104857024569
2025-07-26,117633.27,118371.35,117095.73,117969.63,48508954046
2025-07-27,117981.73,119800,117849.99,119465.52,56394530816
2025-07-28,119465.52,119839,117380.6,118070.59,68463107433
2025-07-29,118074.43,119284.78,116900,117933.39,68896148592
2025-07-30,117933.39,118809.43,115728.49,117830.15,71298023424
2025-07-31,117830.15,118920,115500,115761.13,91294530181
2025-08-01,115756.12,116065.12,112659,113248.73,91294530181
2025-08-02,113248.83,114023.58,112000,112542.74,58879041536
2025-08-03,112542.75,114794.99,111903.68,114215.73,48099615826
2025-08-04,114215.7,115756.06,114118.18,115051.85,54613991424
2025-08-05,115056.14,115112.75,112622.14,114112.95,61039182286
2025-08-06,114112.95,115749.99,113347.87,115028.83,56379133510
2025-08-07,115028.83,117687,114268.6,117515.49,66161729536
2025-08-08,117515.69,117687,115800,116683.79,59713005166
2025-08-09,116683.79,117937.89,116343.34,116492.51,56518184960
2025-08-10,116492.5,119324.08,116480,119309.37,73929555968
2025-08-11,119309.37,122319.14,118050,118701.84,90528784177
2025-08-12,118701.83,120327,118190.81,120113.18,73360105472
2025-08-13,120109.04,123740.24,118931.34,123365.63,96564166656
2025-08-14,123365.63,124533,117208.97,118389.79,104055627395
2025-08-15,118389.79,119339.57,116859.32,117436.96,68665353159
2025-08-16,117436.95,118028.68,117222.01,117455.68,48036922378
2025-08-17,117455.69,118641.6,117249.49,117488.6,54562619392
2025-08-18,117488.59,117633.8,114703.26,116286.76,72787808090
2025-08-19,116286.75,116792.87,112696.56,112856.19,71657600353
2025-08-20,112853.66,114627.37,112344.11,114276,67993811526
2025-08-21,114276,114812,111964,112480.3,57817883700
2025-08-22,112480.29,117416.73,111649.75,116908.68,83873603584
2025-08-23,116911.9,116999.03,114505,115383.87,55377142586
2025-08-24,115383.87,115616.53,110635,113478,74210828288
2025-08-25,113478,113645.32,109275.74,110127.74,85706860190
2025-08-26,110127.74,112399.99,108670,111788.01,69396320317
2025-08-27,111788.04,112683.39,110351.11,111253.21,62137056409
2025-08-28,111253.22,113480,110858.78,112574.85,58860155962
2025-08-29,112574.84,112642.53,107469.13,108378.32,77843379644
2025-08-30,108378.32,108928.79,107369.69,108827.93,51486264208
2025-08-31,108827.92,109489.79,108060.79,108247.95,47986191770
2025-09-01,108247.95,109907.51,107250,109240.55,66870372995
2025-09-02,109240.55,111801.86,108400,111247.94,74776999491
2025-09-03,111247.94,112600,110533.77,111756.41,61119643565
2025-09-04,111756.4,112235.6,109321,110720.79,62086545408
2025-09-05,110714.48,113390,110202.36,110670.02,60241647677
2025-09-06,110670.02,111317.65,109993,110212.6,21500719036
2025-09-07,110214.21,111600,110200.01,111129.61,24618007520
2025-09-08,111120.38,112940.84,110600,112072.57,40212813407
2025-09-09,112072.57,113292.96,110765.72,111549.32,47016140800
2025-09-10,111546.61,114362.1,110919.55,113983.97,56377473784
2025-09-11,113983.98,115554.53,113433.92,115540,56377473784
2025-09-12,115540.01,116833.25,114774.19,116106.03,54785725894
