date,open,high,low,close,volume
2025-07-15,182.81,184.22,181.6,182,33448300
2025-07-16,183.24,184.33,182.03,182.97,33104200
2025-07-17,182.14,184.06,180.48,183.58,31992600
2025-07-18,185.4,186.42,183.71,185.06,34014509
2025-07-21,186.25,190.29,186.15,190.1,45803129
2025-07-22,191.5,191.65,187.46,191.34,44660215
2025-07-23,191.5,192.53,189.18,190.23,58681948
2025-07-24,197.03,197.95,191,192.17,74881700
2025-07-25,191.98,194.33,191.26,193.18,39785900
2025-07-28,193.65,194.05,190.84,192.58,38139504
2025-07-29,192.43,195.92,192.08,195.75,41389200
2025-07-30,195.6,197.6,194.69,196.53,32445405
2025-07-31,195.71,195.99,191.09,191.9,51329200
2025-08-01,189.03,190.83,187.82,189.13,34832200
2025-08-04,190.29,195.27,190.12,195.04,31547400
2025-08-05,194.71,197.86,193.89,194.67,31602340
2025-08-06,194.5,196.63,193.67,196.09,21562908
2025-08-07,197.06,197.54,194.33,196.52,26321811
2025-08-08,197.22,202.61,197.17,201.42,39161826
2025-08-11,200.94,201.48,199.07,201,25832435
2025-08-12,201.37,204.5,200.59,203.34,30424452
2025-08-13,204.13,204.53,197.51,201.96,28342922
2025-08-14,201.5,204.44,201.23,202.94,25230427
2025-08-15,203.85,206.44,201.28,203.9,34931422
2025-08-18,204.2,205.27,202.49,203.5,18526600
2025-08-19,203.03,203.44,199.96,201.57,24240233
2025-08-20,200.73,201.28,196.6,199.32,28955500
2025-08-21,199.75,202.48,199.43,199.75,19774633
2025-08-22,202.73,208.54,201.3,206.09,42827040
2025-08-25,206.43,210.52,205.28,208.49,29928900
2025-08-26,207.51,207.85,205.7,207.14,28464130
2025-08-27,205.7,208.91,205.65,207.48,23022900
2025-08-28,207.25,212.22,206.9,211.64,32339307
2025-08-29,210.51,214.65,210.2,212.91,39728400
2025-09-02,208.44,211.68,206.2,211.35,47523037
2025-09-03,226.21,231.31,224.79,230.66,103336125
2025-09-04,229.65,232.37,226.11,232.3,51684200
2025-09-05,232.2,235.76,231.9,235,46588925
2025-09-08,235.47,238.13,233.67,234.04,32474743
2025-09-09,234.17,240.47,233.23,239.63,38061000
2025-09-10,238.9,241.66,237.85,239.17,35141100
2025-09-11,239.88,242.25,236.25,240.37,30599328
2025-09-12,240.37,242.08,238,240.8,26771610
2025-09-15,244.66,252.41,244.66,251.61,58383800
2025-09-16,252.08,253.04,249.47,251.16,34109720
2025-09-17,251.22,251.6,246.28,249.53,34108000
2025-09-18,251.68,253.99,249.8,252.03,31239500
2025-09-19,253.25,256,251.81,254.72,55571424
2025-09-22,254.43,255.78,250.3,252.53,32290538
2025-09-23,253.04,254.36,250.48,251.66,26628016
2025-09-24,251.66,252.35,246.44,247.14,28201003
2025-09-25,244.4,246.49,240.74,245.79,31020400
2025-09-26,247.07,249.42,245.97,246.54,18503200
2025-09-29,247.85,251.15,242.77,244.05,32505800
2025-09-30,242.81,243.29,239.25,243.1,34724346
2025-10-01,240.75,246.3,238.61,244.9,31658234
2025-10-02,245.15,246.81,242.3,245.69,25483300
2025-10-03,244.49,246.3,241.66,245.35,30249600
2025-10-06,244.78,251.32,244.58,250.43,28894700
2025-10-07,248.27,250.44,245.52,245.76,23181300
2025-10-08,244.96,246.01,243.82,244.62,21307104
2025-10-09,244.47,244.76,239.15,241.53,27892100
2025-10-10,241.43,244.09,235.84,236.57,33180323
2025-10-13,240.21,244.5,239.71,244.15,24995028
2025-10-14,241.23,247.12,240.51,245.45,22111600
2025-10-15,247.25,252.11,245.99,251.03,27007700
2025-10-16,251.77,256.96,250.1,251.46,27997200
2025-10-17,250.76,254.22,247.81,253.3,29671629
2025-10-20,254.69,257.33,254.23,256.55,22350200
2025-10-21,254.74,254.88,244.15,250.46,47312100
2025-10-22,254.37,256.36,249.29,251.69,35029400
2025-10-23,252.98,255.04,251.85,253.08,19901425
2025-10-24,256.58,261.68,255.32,259.92,28655126
2025-10-27,264.82,270.14,264.28,269.27,35235231
2025-10-28,269.69,270.73,266.5,267.47,29738600
2025-10-29,267.75,275.34,267.67,274.57,43580300
2025-10-30,291.59,291.59,280.06,281.48,74876000
2025-10-31,283.21,286,277.03,281.19,39267945
2025-11-03,282.18,285.53,279.8,283.72,29786000
2025-11-04,276.75,281.27,276.26,277.54,30078400
2025-11-05,278.87,286.42,277.34,284.31,31010302
2025-11-06,285.33,288.35,281.14,284.75,37173648
2025-11-07,283.21,283.78,275.19,278.83,34479600
2025-11-10,284.42,290.8,282.86,290.1,29557309
2025-11-11,287.75,291.92,287.32,291.31,19842136
2025-11-12,291.68,292.01,283.69,286.71,24829923
2025-11-13,282.34,282.84,277.24,278.57,29494040
2025-11-14,271.4,278.56,270.7,276.41,31647227
2025-11-17,285.77,293.95,283.57,285.02,52670200
2025-11-18,287.92,288.8,278.2,284.28,49158743
2025-11-19,287.16,303.81,286.63,292.81,68198944
2025-11-20,304.54,306.42,288.67,289.45,62025218
2025-11-21,296.42,303.92,293.85,299.66,74137700
2025-11-24,311.13,319.48,309.6,318.58,85165123
2025-11-25,326.21,328.83,317.65,323.44,88632100
2025-11-26,320.68,324.5,316.79,319.95,51373400
2025-11-28,323.37,326.85,316.79,320.18,26018600
2025-12-01,317.7,319.85,313.89,314.89,41183000
2025-12-02,316.74,318.38,313.91,315.81,35854744
2025-12-03,315.89,321.58,314.1,319.63,41838317
2025-12-04,322.23,322.36,314.7,317.62,31240924
2025-12-05,319.49,323.16,319.17,321.27,28851705
2025-12-08,320.05,320.44,311.22,313.72,33909433
2025-12-09,312.37,317.99,311.9,317.08,30194027
2025-12-10,315.83,321.31,314.68,320.21,33428923
2025-12-11,320.08,321.12,308.6,312.43,42353700
2025-12-12,313.7,314.87,305.56,309.29,35940200
2025-12-15,311.32,311.42,304.88,308.22,29151900
2025-12-16,304.95,310.77,302.59,306.57,30585020
2025-12-17,308.01,308.09,296.12,296.72,43930400
2025-12-18,301.72,303.96,299.23,302.46,33518048
2025-12-19,301.73,307.25,300.97,307.16,59943239
2025-12-22,309.88,310.13,305.3,309.78,26429937
2025-12-23,309.63,314.94,309.32,314.35,25478700
2025-12-24,314.77,315.08,311.92,314.09,10097400
2025-12-26,314.48,315.08,312.27,313.51,10899017
