date,open,high,low,close,volume
2025-07-15,723.9,724.47,709.82,710.39,11529511
2025-07-16,713.37,713.97,699.27,702.91,13067627
2025-07-17,704.39,705.9,697.11,701.41,11803300
2025-07-18,702.19,704.71,691.65,704.28,12779800
2025-07-21,706.8,717,705.76,712.97,9404400
2025-07-22,716.19,716.6,701.41,704.81,8921100
2025-07-23,706.37,714.63,704.93,713.58,8771615
2025-07-24,717.05,723.62,714,714.8,10920836
2025-07-25,716.92,720.65,711.9,712.68,8271700
2025-07-28,715.2,724.74,712.68,717.63,8715743
2025-07-29,720,724.47,699.91,700,13267032
2025-07-30,708.09,708.5,691.2,695.21,27077300
2025-07-31,775.2,784.75,765.51,773.44,38831100
2025-08-01,760.73,766,745.31,750.01,19028710
2025-08-04,760,776.85,758.41,776.37,15801727
2025-08-05,776.45,783.13,763,763.46,11640300
2025-08-06,770,773.64,760.46,771.99,9733910
2025-08-07,773.49,775,759.55,761.83,9019700
2025-08-08,762.75,769.9,758.58,769.3,7320800
2025-08-11,770.08,773.46,764.67,765.87,7612000
2025-08-12,773,793.67,772.43,790,14579765
2025-08-13,791.15,795.46,778.23,780.08,8811800
2025-08-14,777.88,787.81,772.51,782.13,8116200
2025-08-15,784.15,796.25,780.82,785.23,13375400
2025-08-18,775.09,775.81,756.56,767.37,16513737
2025-08-19,767.12,767.17,749.36,751.48,12286700
2025-08-20,747.57,750.2,731,747.72,11898200
2025-08-21,744.71,745.5,733.11,739.1,8876307
2025-08-22,739.23,756.9,734.39,754.79,10612700
2025-08-25,754.82,758.88,750.13,753.3,6861200
2025-08-26,750.8,754.87,747.94,754.1,7601800
2025-08-27,752.3,754.15,742.84,747.38,8315435
2025-08-28,744,753.05,740.8,751.11,7468000
2025-08-29,745.28,747.14,735.35,738.7,9070546
2025-09-02,726.04,736,721.73,735.11,9350900
2025-09-03,736,740.25,733.99,737.05,7699332
2025-09-04,748.57,761.16,745.82,748.65,11439100
2025-09-05,752.62,757.95,745.03,752.45,9663441
2025-09-08,756,766.51,752.02,752.3,13087816
2025-09-09,757.49,766.3,753.43,765.7,10999026
2025-09-10,765.13,765.7,751,751.98,12478300
2025-09-11,754.65,757.1,748.37,750.9,7923300
2025-09-12,748.73,757.57,743.76,755.59,8248600
2025-09-15,757.47,774.07,751.99,764.7,10533800
2025-09-16,767,781.36,765.1,779,11782500
2025-09-17,779.99,783.29,766.31,775.72,9400900
2025-09-18,780.75,788.78,773.36,780.25,10955000
2025-09-19,786.42,790.8,769.19,778.38,23696824
2025-09-22,781.85,785.73,764.47,765.16,11706946
2025-09-23,769.25,770.6,751.07,755.4,10872600
2025-09-24,757.5,761.11,752.53,760.66,8828227
2025-09-25,753.45,756.77,744.55,748.91,10591100
2025-09-26,750,751.93,737.35,743.75,9696338
2025-09-29,748.72,750.78,739.15,743.4,9246800
2025-09-30,742.25,742.97,726.3,734.38,16226800
2025-10-01,721.49,721.85,710.2,717.34,20419633
2025-10-02,722.58,727.77,718.14,727.05,11415300
2025-10-03,729.63,731,710.18,710.56,16154305
2025-10-06,705.19,716.88,690.51,715.66,21654738
2025-10-07,717.72,718.5,705.75,713.08,12062928
2025-10-08,713.45,719.65,707.81,717.84,10790600
2025-10-09,718.28,733.51,712.44,733.51,12717200
2025-10-10,730.92,735.27,704.51,705.3,16980100
2025-10-13,713.01,719.94,707.64,715.7,9251800
2025-10-14,707.78,715.55,699.33,708.65,8829800
2025-10-15,717.06,723.9,709.51,717.55,10246800
2025-10-16,717.55,725.49,703.88,712.07,9017010
2025-10-17,707.08,718.54,706.12,716.92,12232441
2025-10-20,721.19,733.77,720.18,732.17,8900204
2025-10-21,736.02,738.5,728.75,733.27,7647300
2025-10-22,733.83,740.6,724.03,733.41,8734500
2025-10-23,734.7,742.41,733.1,734,9856000
2025-10-24,736.79,741.21,731.15,738.36,9151300
2025-10-27,749.73,755.75,748.01,750.82,11321100
2025-10-28,752.63,758.4,745.52,751.44,12193818
2025-10-29,754.75,759.16,742.51,751.67,26818600
2025-10-30,669.15,680.96,650.17,666.47,88440100
2025-10-31,674.51,674.89,645.57,648.35,56953200
2025-11-03,656,659.33,636.18,637.71,33003600
2025-11-04,628.04,641.74,626.01,627.32,27356600
2025-11-05,632.31,642.23,626.54,635.95,20219900
2025-11-06,635.85,636,618,618.94,23628800
2025-11-07,616.49,622.13,601.2,621.71,29946826
2025-11-10,631.09,635,618.11,631.76,19245000
2025-11-11,628,629.56,619.39,627.08,13302200
2025-11-12,628.13,628.99,607.77,609.01,24493300
2025-11-13,613.07,617.65,603,609.89,20973845
2025-11-14,601.79,613.68,595.2,609.46,20724146
2025-11-17,609.04,611.69,595.4,602.01,16501331
2025-11-18,591.6,603.66,583.78,597.69,25500647
2025-11-19,593.72,595.33,581.25,590.32,24744703
2025-11-20,603.5,606.72,583.35,589.15,20603024
2025-11-21,588.5,598.12,581.86,594.25,21052624
2025-11-24,598.72,616.7,597.63,613.05,23554932
2025-11-25,624,637.04,618.3,636.22,25213000
2025-11-26,637.69,638.36,631.63,633.61,15209500
2025-11-28,636.08,648.05,635.5,647.95,11033200
2025-12-01,639.55,645.32,637.76,640.87,13029922
2025-12-02,642.34,647.87,638.07,647.1,11640900
2025-12-03,644.41,648.85,637.55,639.6,11134305
2025-12-04,676,676.1,660.05,661.53,29874622
2025-12-05,664,674.69,662.39,673.42,21207900
2025-12-08,669.34,676.71,665.07,666.8,13161000
2025-12-09,663.77,664.48,653.34,656.96,12997116
2025-12-10,649.95,654.51,643.4,650.13,16910900
2025-12-11,643.29,655.28,640.79,652.71,13056726
2025-12-12,649.8,711,638.61,644.23,14016915
2025-12-15,645.7,653,638.7,647.51,15549100
2025-12-16,643.5,662.54,643.2,657.15,14309136
2025-12-17,655.61,661.23,649.2,649.5,15598548
2025-12-18,657.03,670.56,656.46,664.45,20260300
2025-12-19,666.42,671,658.18,658.77,49977100
2025-12-22,661.65,673.58,656.65,661.5,15659400
2025-12-23,660.05,666,658.25,664.94,8486847
2025-12-24,662.53,668.18,662.2,667.55,5627512
2025-12-26,668.06,668.95,661.32,663.29,7133813
2025-12-29,658.01,660.25,654.39,658.69,8506500
2025-12-30,658.69,672.22,657.84,665.95,9187500
2025-12-31,664.75,665,659.44,660.09,7940400
2026-01-02,662.73,664.39,643.5,650.41,13726517
2026-01-05,651.01,664.54,647.75,658.79,12213745
2026-01-06,659.57,665.52,651.9,660.62,11074419
2026-01-07,655.64,659.15,644.81,648.69,12846300
2026-01-08,645.88,647.1,635.72,646.06,11921708
2026-01-09,645.43,654.95,642.85,653.06,11634944
2026-01-12,652.53,653.97,641.23,641.97,14797200
2026-01-13,642.27,642.27,624.1,631.09,18030400
2026-01-14,626.5,628.45,614.82,615.52,15527900
2026-01-15,618.48,624.17,614.23,620.8,13076100
2026-01-16,624.18,629.08,620.08,620.25,17012516
2026-01-20,607.88,611.4,600,604.12,15169600
2026-01-21,606.74,618.27,600.08,612.96,14494700
2026-01-22,629.35,660.57,626.55,647.63,21394700
2026-01-23,644.77,666.49,644.45,658.76,22797723
2026-01-26,665.13,675.28,661.29,672.36,16327400
2026-01-27,674.59,676.82,664.66,672.97,13297400
2026-01-28,674.5,677.68,666.1,668.73,25709600
2026-01-29,737.43,744,712.55,738.31,59852903
2026-01-30,727.5,732.17,713.59,716.5,23744600
2026-02-02,714.6,721.3,703.52,706.41,14365224
2026-02-03,707.37,717,686.41,691.7,13760700
2026-02-04,687.73,688.83,667.46,668.99,16882800
2026-02-05,663.58,681.5,653.5,670.21,17131800
2026-02-06,665.49,671.99,646.5,661.46,18159300
2026-02-09,663.18,683.31,658.78,677.22,14837529
2026-02-10,677.6,680.65,669.79,670.72,10455816
2026-02-11,674,679.27,657.1,668.69,14323818
2026-02-12,669.97,676,645.28,649.81,14960108
2026-02-13,645.1,651.43,634.57,639.77,12336400
2026-02-17,639.5,642.6,628.8,639.29,12674739
2026-02-18,633.8,645,628.15,643.22,14649200
2026-02-19,638.57,647.19,636.72,644.78,10035700
2026-02-20,639.68,663.35,638.78,655.66,14183512
2026-02-23,652.54,657.7,636,637.25,8605909
2026-02-24,633.08,641.11,628.98,639.3,10135647
2026-02-25,642.53,653.88,642.14,653.69,11330700
2026-02-26,650.55,661,647.5,657.01,10637736
2026-02-27,643.45,649.44,638.12,648.18,15703041
2026-03-02,637.16,659.94,634.5,653.56,9816125
2026-03-03,648.29,659.04,638.84,655.08,12263800
2026-03-04,657.96,672.77,657.67,667.73,10810100
2026-03-05,661.93,670.7,650.31,660.57,13341400
2026-03-06,647.9,649.47,636.11,644.86,13159400
2026-03-09,634.78,647.75,626.78,647.39,13489742
2026-03-10,653.56,660.3,649,654.07,9859300
2026-03-11,654.76,659.12,648.36,654.86,8977200
2026-03-12,648.75,653.5,636.9,638.18,11617500
2026-03-13,623.89,629.17,609.55,613.71,18957637
2026-03-16,632,634.75,623.1,627.45,15134900
2026-03-17,627.99,636.55,621.7,622.66,10348800
2026-03-18,616.34,622.65,614.61,615.68,11726301
2026-03-19,612.15,613,602.26,606.7,13247700
2026-03-20,603.53,603.96,587.25,593.66,21214900
2026-03-23,605.79,608.64,599.01,604.06,13638000
2026-03-24,599.1,601,591,592.92,10739742
2026-03-25,598.74,603.67,593.4,594.89,12585031
2026-03-26,582.49,583,543.35,547.54,35780131
2026-03-27,540.1,543.6,520.26,525.72,30133010
2026-03-30,536.38,539.55,528.54,536.38,22795203
2026-03-31,549.98,573.69,546.77,572.13,32898300
2026-04-01,580.13,592.55,573.82,579.23,23608128
2026-04-02,566.04,578.5,559.7,574.46,13518547
2026-04-06,577.69,582.79,572,573.02,9515700
2026-04-07,572.48,575.23,564.76,575.05,9580843
2026-04-08,606,629.95,591.83,612.42,32036638
2026-04-09,626.97,637.5,623,628.39,19012912
2026-04-10,634.47,638.58,624.33,629.86,13294844
2026-04-13,629.5,635,624.4,634.53,9538931
2026-04-14,643.22,666.26,639.37,662.49,17818000
2026-04-15,667,678.5,664.22,671.58,14952600
2026-04-16,675.99,677.58,667.75,676.87,9544835
2026-04-17,678.6,691.52,675.13,688.55,16283500
2026-04-20,681.36,683.38,668,670.91,12534000
2026-04-21,671,676.2,667.33,668.84,8660100
2026-04-22,674.36,678.38,669.75,674.72,9215603
2026-04-23,663.7,669.56,653.05,659.15,11667000
2026-04-24,660.32,680.67,653.84,675.03,13348300
2026-04-27,671,682.5,670.84,678.62,12805222
2026-04-28,674.24,678.18,665.63,671.34,10606800
2026-04-29,668.91,674.25,663.81,669.12,18947500
2026-04-30,619.32,620.85,600,611.91,52765000
2026-05-01,614.69,618.88,606.11,608.75,21404028
2026-05-04,607.93,614,602.75,610.41,16203902
2026-05-05,613.31,614.35,600.36,604.96,17171301
2026-05-06,601.05,619.95,598.1,612.88,19915500
2026-05-07,614.72,624.98,613.54,616.81,12307400
2026-05-08,615.2,616.77,606.06,609.63,13557000
2026-05-11,604.57,604.91,598.08,598.86,15940622
2026-05-12,594.82,603.75,592.6,603,11351600
2026-05-13,598.83,619.9,596.66,616.63,14634400
2026-05-14,616,623.73,615,618.43,10651200
2026-05-15,613.99,621.2,609.31,614.23,13272600
2026-05-18,609.11,615.59,603.69,611.21,13772443
2026-05-19,608.92,613.93,600.55,602.61,11749947
2026-05-20,600.76,608,597.81,605.06,11329709
2026-05-21,600,609.6,594.81,607.38,13476100
2026-05-22,607.88,614.81,606.95,610.26,11688623
2026-05-26,608.89,614.47,605.3,612.34,12234200
2026-05-27,609.4,638.5,609,635.26,23143600
2026-05-28,639.5,643,629.31,635.29,16772400
2026-05-29,633.5,634.5,623.35,632.51,19806536
2026-06-01,630.4,635.75,599.53,600.47,29138805
2026-06-02,603.24,608.88,596.68,597.63,18252000
2026-06-03,603,624.15,600.27,622.98,23020100
2026-06-04,623.67,642.4,622.43,627.57,21469248
2026-06-05,623.46,629.15,582.91,593,30091610
2026-06-08,592,592,579.22,585.39,19512436
2026-06-09,591,597.63,581.01,584.59,16977400
2026-06-10,580.73,591.32,570.6,570.98,17064048
2026-06-11,565.83,572.17,557.01,568.43,17628000
2026-06-12,572.95,576.07,560.9,566.98,14347769
2026-06-15,579.9,601.27,579.3,593.48,17653300
2026-06-16,593.65,605.81,592,600.21,11344421
2026-06-17,592,593.81,566.19,567.58,20478308
2026-06-18,572.82,580.22,563.1,577.22,28824630
2026-06-22,572.02,575.81,559.81,563.85,15405511
2026-06-23,562.25,572.2,561.02,562.2,13103316
2026-06-24,561.89,569.04,555.55,557.67,13963600
2026-06-25,555.55,556.34,540.18,542.87,16968639
2026-06-26,543.34,556.85,540.4,550.25,18867706
2026-06-29,560,570.9,558,562.6,15011400
2026-06-30,560.94,565.54,551.43,563.29,18111100
2026-07-01,607.91,628.28,595.1,612.91,45536306
2026-07-02,607.9,610,580.42,582.9,21750522
2026-07-06,594.84,603.58,581.76,600.29,17674100
2026-07-07,607.59,625.37,603.66,615.58,18560849
2026-07-08,614.39,616,598.01,603.12,13606507
2026-07-09,583.99,633.27,577.07,631.48,26579700
2026-07-10,660.34,677.86,658.01,669.21,40608900
2026-07-13,661.38,676.62,654.2,656.73,19840702
2026-07-14,652,666.5,649.05,661.04,16748239
2026-07-15,663.6,685.99,656.6601,683.33,10072037
