date,open,high,low,close,volume
2025-07-15,503.02,508.3,502.79,505.82,14927202
2025-07-16,505.18,506.72,501.89,505.62,15154400
2025-07-17,505.68,513.37,505.62,511.7,17503129
2025-07-18,514.48,514.64,507.43,510.05,21209700
2025-07-21,506.71,512.09,505.55,510.06,14066805
2025-07-22,510.97,511.2,505.27,505.27,13868644
2025-07-23,506.75,506.79,500.7,505.87,16396600
2025-07-24,508.77,513.67,507.3,510.88,16107000
2025-07-25,512.47,518.29,510.36,513.71,19125700
2025-07-28,514.08,515,510.12,512.5,14308027
2025-07-29,515.53,517.62,511.56,512.57,16469235
2025-07-30,515.17,515.95,509.44,513.24,26380434
2025-07-31,555.23,555.45,531.9,533.5,51617326
2025-08-01,535,535.8,520.86,524.11,28977628
2025-08-04,528.27,538.25,528.13,535.64,25349004
2025-08-05,537.18,537.3,527.24,527.75,19171600
2025-08-06,530.9,531.7,524.03,524.94,21355702
2025-08-07,526.8,528.09,517.55,520.84,16079144
2025-08-08,522.6,524.66,519.41,522.04,15531009
2025-08-11,522.3,527.59,519.72,521.77,20194400
2025-08-12,523.75,530.98,522.7,529.24,18688921
2025-08-13,532.11,532.7,519.37,520.58,19619200
2025-08-14,522.56,525.95,520.14,522.48,20269100
2025-08-15,522.77,526.1,519.08,520.17,25213300
2025-08-18,521.59,522.82,514.02,517.1,23760600
2025-08-19,515,515.16,508.55,509.77,21481016
2025-08-20,509.87,511,504.44,505.72,27723025
2025-08-21,503.69,507.63,502.72,504.24,18443300
2025-08-22,504.25,510.73,502.41,507.23,24324200
2025-08-25,506.63,508.19,504.12,504.26,21638600
2025-08-26,504.36,504.98,498.51,502.04,30835709
2025-08-27,502,507.29,499.9,506.74,17277900
2025-08-28,507.09,511.09,505.5,509.64,18015600
2025-08-29,508.66,509.6,504.49,506.69,20961600
2025-09-02,500.47,506,496.81,505.12,18128000
2025-09-03,503.79,507.79,502.32,505.35,16345100
2025-09-04,504.3,508.15,503.15,507.97,15509500
2025-09-05,509.07,511.97,492.37,495,31994846
2025-09-08,498.11,501.2,495.03,498.2,16771015
2025-09-09,501.43,502.25,497.7,498.41,14410542
2025-09-10,502.98,503.23,496.72,500.37,21611816
2025-09-11,502.25,503.17,497.88,501.01,18881608
2025-09-12,506.65,512.55,503.85,509.9,23624900
2025-09-15,508.79,515.47,507,515.36,17143800
2025-09-16,516.88,517.23,508.6,509.04,19711922
2025-09-17,510.62,511.29,505.93,510.02,15816600
2025-09-18,511.49,513.07,507.66,508.45,18913700
2025-09-19,510.56,519.3,510.31,517.93,52474100
2025-09-22,515.59,517.74,512.54,514.45,20009314
2025-09-23,513.8,514.59,507.31,509.23,19799600
2025-09-24,510.38,512.48,506.92,510.15,13533711
2025-09-25,508.3,510.01,505.04,507.03,15786500
2025-09-26,510.06,513.94,506.62,511.46,16213129
2025-09-29,511.5,516.85,508.88,514.6,17617800
2025-09-30,513.24,518.16,509.66,517.95,19728229
2025-10-01,514.8,520.51,511.69,519.71,22632336
2025-10-02,517.64,521.6,510.68,515.74,21222900
2025-10-03,517.1,520.49,515,517.35,15112321
2025-10-06,518.61,531.03,518.2,528.57,21388600
2025-10-07,528.29,529.8,521.44,523.98,14615208
2025-10-08,523.28,526.95,523.09,524.85,13363447
2025-10-09,522.34,524.33,517.4,522.4,18343602
2025-10-10,519.64,523.58,509.63,510.96,24133840
2025-10-13,516.41,516.41,511.68,514.05,14284238
2025-10-14,510.23,515.28,506,513.57,14684300
2025-10-15,514.96,517.19,510,513.43,14694700
2025-10-16,512.58,516.85,508.13,511.61,15559600
2025-10-17,509.04,515.48,507.31,513.58,19867800
2025-10-20,514.61,518.7,513.43,516.79,14665620
2025-10-21,517.5,518.69,513.04,517.66,15586204
2025-10-22,521.15,525.23,517.71,520.54,18962700
2025-10-23,522.46,523.95,518.61,520.56,14023532
2025-10-24,522.79,525.35,520.71,523.61,15532400
2025-10-27,531.78,534.58,529.01,531.52,18734716
2025-10-28,550,553.72,540.77,542.07,29986700
2025-10-29,544.94,546.27,536.73,541.55,36023004
2025-10-30,530.48,534.97,522.12,525.76,41023100
2025-10-31,528.88,529.32,515.1,517.81,34006424
2025-11-03,519.8,524.96,514.59,517.03,22374742
2025-11-04,511.76,515.55,507.84,514.33,20958700
2025-11-05,513.3,514.83,506.58,507.16,23024342
2025-11-06,505.66,505.7,495.81,497.1,27406500
2025-11-07,496.95,499.38,493.25,496.82,24019800
2025-11-10,500.04,506.85,498.8,506,26101500
2025-11-11,504.8,509.6,502.35,508.68,17980020
2025-11-12,509.36,511.67,499.12,511.14,26574900
2025-11-13,510.31,513.5,501.29,503.29,25273114
2025-11-14,498.23,511.6,497.44,510.18,28505746
2025-11-17,508.45,512.12,504.91,507.49,19092800
2025-11-18,495.37,502.98,486.78,493.79,33815114
2025-11-19,490.1,495.19,482.83,487.12,23245314
2025-11-20,492.71,493.57,475.5,478.43,26802542
2025-11-21,478.5,478.92,468.27,472.12,31769248
2025-11-24,475,476.9,468.02,474,34421046
2025-11-25,474.07,479.15,464.89,476.99,28019800
2025-11-26,486.31,488.31,481.2,485.5,25709100
2025-11-28,487.6,492.63,486.65,492.01,14386730
2025-12-01,488.44,489.86,484.65,486.74,23964000
2025-12-02,486.72,493.5,486.32,490,19562722
2025-12-03,476.32,484.24,475.2,477.73,34615102
2025-12-04,479.76,481.32,476.49,480.84,22318200
2025-12-05,482.52,483.4,478.88,483.16,22608710
2025-12-08,484.89,492.3,484.38,491.02,21965900
2025-12-09,489.1,492.12,488.5,492.02,14696100
2025-12-10,484.03,484.25,475.08,478.56,35756229
2025-12-11,476.63,486.03,475.86,483.47,24669200
2025-12-12,479.82,482.45,476.34,478.53,21248102
2025-12-15,480.1,480.72,472.52,474.82,23727700
2025-12-16,471.91,477.89,470.88,476.39,20705600
2025-12-17,476.91,480,475,476.12,24527200
2025-12-18,478.19,489.6,477.89,483.98,28573545
2025-12-19,487.36,487.85,482.49,485.92,70836105
2025-12-22,486.12,488.73,482.69,484.92,16963019
2025-12-23,484.98,487.83,484.74,486.85,14683600
2025-12-24,485.68,489.16,484.83,488.02,5855900
2025-12-26,486.71,488.12,485.96,487.71,8842200
2025-12-29,484.86,488.35,484.18,487.1,10893408
2025-12-30,485.93,489.68,485.5,487.48,13944512
2025-12-31,487.84,488.14,483.3,483.62,15601600
2026-01-02,484.39,484.66,470.16,472.94,25571600
2026-01-05,474.06,476.07,469.5,472.85,25250300
2026-01-06,473.8,478.74,469.75,478.51,23037700
2026-01-07,479.76,489.7,477.95,483.47,25564200
2026-01-08,481.24,482.66,475.86,478.11,18162616
2026-01-09,474.06,479.82,472.2,479.28,18491036
2026-01-12,476.67,480.99,475.68,477.18,23519900
2026-01-13,474.68,475.78,465.95,470.67,28545800
2026-01-14,466.46,468.2,457.17,459.38,28184302
2026-01-15,464.12,464.25,455.9,456.66,23225839
2026-01-16,457.83,463.19,456.48,459.86,34246700
2026-01-20,451.22,456.8,449.28,454.52,26130000
2026-01-21,452.6,452.69,438.68,444.11,37980510
2026-01-22,447.62,452.84,444.7,451.14,25349400
2026-01-23,451.87,471.1,450.53,465.95,38000200
2026-01-26,465.31,474.25,462,470.28,29291235
2026-01-27,473.7,482.87,473.16,480.58,29213923
2026-01-28,483.21,483.74,478,481.63,36875403
2026-01-29,439.99,442.5,421.02,433.5,128855323
2026-01-30,439.17,439.6,426.45,430.29,58566819
2026-02-02,430.24,430.74,422.25,423.37,42219900
2026-02-03,422.01,422.05,408.56,411.21,61424123
2026-02-04,411,419.8,409.24,414.19,45012400
2026-02-05,407.44,408.3,392.32,393.67,66289247
2026-02-06,399.17,401.79,392.92,401.14,53515311
2026-02-09,404.85,414.89,400.87,413.6,45480526
2026-02-10,419.62,423.68,412.7,413.27,44857900
2026-02-11,416.18,416.46,401.01,404.37,42491012
2026-02-12,405,406.2,398.01,401.84,40802400
2026-02-13,404.45,405.54,398.05,401.32,34091600
2026-02-17,399.22,400.52,394.53,396.86,32078800
2026-02-18,398.13,402.56,396.32,399.6,23223417
2026-02-19,400.69,404.43,396.67,398.46,28234001
2026-02-20,396.11,400.12,395.16,397.23,34015249
2026-02-23,395,395.36,383.1,384.47,43238300
2026-02-24,384.14,389.36,381.71,389,33884700
2026-02-25,390.53,401.47,390.16,400.6,43625500
2026-02-26,404.71,407.49,398.74,401.72,34405900
