date,open,high,low,close,volume
2025-07-15,171.19,172.4,169.2,170.7,230627400
2025-07-16,171.06,171.75,168.9,171.37,158831509
2025-07-17,172.02,174.16,170.83,173,160841119
2025-07-18,173.64,174.25,171.26,172.41,146456416
2025-07-21,172.75,173.38,171,171.38,123126136
2025-07-22,171.34,171.39,164.58,167.03,193114327
2025-07-23,169.53,171.26,167.97,170.78,154082200
2025-07-24,172.44,173.83,171.3,173.74,128984628
2025-07-25,173.61,174.72,172.96,173.5,122316800
2025-07-28,174.02,177,173.97,176.75,140023521
2025-07-29,177.96,179.38,175.02,175.51,154077512
2025-07-30,176.51,179.89,176.04,179.27,174312208
2025-07-31,182.9,183.3,175.93,177.87,221685446
2025-08-01,174.09,176.54,170.89,173.72,204529000
2025-08-04,175.16,180.2,174.52,180,148174609
2025-08-05,179.62,180.26,175.9,178.26,156407621
2025-08-06,176.33,179.9,176.25,179.42,137192300
2025-08-07,181.57,183.88,178.8,180.77,151878400
2025-08-08,181.55,183.3,180.4,182.7,123396700
2025-08-11,182.05,183.84,180.25,182.06,138323200
2025-08-12,182.96,184.48,179.46,183.16,145729202
2025-08-13,182.62,183.97,179.35,181.59,179871724
2025-08-14,179.75,183.02,179.46,182.02,129554000
2025-08-15,181.88,181.9,178.04,180.45,156602200
2025-08-18,180.6,182.94,180.59,182.01,132008000
2025-08-19,182.43,182.5,175.49,175.64,185229219
2025-08-20,175.17,176,168.8,175.4,215142725
2025-08-21,174.85,176.9,173.81,174.98,140040900
2025-08-22,172.61,178.59,171.2,177.99,172789427
2025-08-25,178.35,181.91,176.57,179.81,163012800
2025-08-26,180.06,182.39,178.81,181.77,168688200
2025-08-27,181.98,182.49,179.1,181.6,235518949
2025-08-28,180.82,184.47,176.41,180.17,281787824
2025-08-29,178.11,178.15,173.15,174.18,243257900
2025-09-02,170,172.38,167.22,170.78,231164900
2025-09-03,171.06,172.41,168.88,170.62,164424900
2025-09-04,170.57,171.86,169.41,171.66,141670144
2025-09-05,168.03,169.03,164.07,167.02,224441435
2025-09-08,167.55,170.96,167.35,168.31,163769133
2025-09-09,169.09,170.98,166.74,170.76,157548400
2025-09-10,176.64,179.29,175.47,177.33,226852020
2025-09-11,179.68,180.28,176.48,177.17,151159300
2025-09-12,177.77,178.6,176.45,177.82,124911026
2025-09-15,175.67,178.85,174.51,177.75,147061600
2025-09-16,177,177.5,174.38,174.88,140737800
2025-09-17,172.64,173.2,168.41,170.29,211843817
