date,open,high,low,close,volume
2025-07-15,627.52,627.86,622.06,622.14,74317300
2025-07-16,623.74,624.73,618.05,624.22,88987500
2025-07-17,624.4,628.4,624.18,628.04,68885700
2025-07-18,629.3,629.47,626.46,627.58,65621600
2025-07-21,628.77,631.54,628.34,628.77,63375000
2025-07-22,629.1,629.73,626.19,628.86,60046300
2025-07-23,631.55,634.21,629.73,634.21,70511000
2025-07-24,634.6,636.15,633.99,634.42,71307100
2025-07-25,635.09,637.58,634.84,637.1,56865400
2025-07-28,637.48,638.04,635.54,636.94,54917100
2025-07-29,638.35,638.67,634.34,635.26,60556300
2025-07-30,635.92,637.68,631.54,634.46,80418900
2025-07-31,639.46,639.85,630.77,632.08,103385200
2025-08-01,626.3,626.34,619.29,621.72,140103600
2025-08-04,625.67,631.22,625.58,631.17,73218000
2025-08-05,631.79,632.61,627.04,627.97,68051400
2025-08-06,629.05,633.44,628.13,632.78,64357500
2025-08-07,636.24,636.98,629.11,632.25,74205800
2025-08-08,634.06,637.65,633.74,637.18,64051600
2025-08-11,637.46,638.95,634.66,635.92,58742300
2025-08-12,638.29,642.85,636.79,642.69,64730800
2025-08-13,644.91,646.19,642.68,644.89,60092800
2025-08-14,642.79,645.62,642.34,644.95,59327500
2025-08-15,645.99,646.09,642.52,643.44,68592500
2025-08-18,642.86,644,642.18,643.3,43804900
2025-08-19,643.12,644.11,638.48,639.81,69750700
2025-08-20,639.4,639.66,632.95,638.11,88890300
2025-08-21,636.28,637.97,633.81,635.55,54805800
2025-08-22,637.76,646.5,637.25,645.31,84083200
2025-08-25,644.04,645.29,642.35,642.47,51274332
2025-08-26,642.2,645.51,641.57,645.16,51581600
2025-08-27,644.57,647.37,644.42,646.63,48341100
2025-08-28,647.24,649.48,645.34,648.92,61519500
2025-08-29,647.47,647.84,643.14,645.05,74522200
2025-09-02,637.5,640.49,634.92,640.27,81983545
2025-09-03,642.67,644.21,640.46,643.74,70820900
2025-09-04,644.42,649.15,643.51,649.12,65219228
2025-09-05,651.48,652.21,643.33,647.24,85178935
2025-09-08,648.62,649.84,647.23,648.83,63133104
2025-09-09,648.97,650.86,647.22,650.33,66133900
2025-09-10,653.62,654.55,650.63,652.21,78034529
2025-09-11,654.18,658.33,653.59,657.63,69934400
2025-09-12,657.6,659.11,656.9,657.41,72780135
2025-09-15,659.64,661.04,659.34,660.91,63772412
2025-09-16,661.47,661.78,659.21,660,61169000
2025-09-17,660.01,661.72,654.3,659.18,101952244
2025-09-18,661.89,664.89,660.27,662.26,90459242
2025-09-19,662.33,664.55,660.37,663.7,97945620
2025-09-22,662.2,667.29,662.17,666.84,69452201
2025-09-23,666.72,667.34,661.98,663.21,81708900
2025-09-24,664.51,664.61,659.67,661.1,68082229
2025-09-25,657.94,659.41,654.41,658.05,89622100
2025-09-26,659.51,662.37,657.88,661.82,69179209
2025-09-29,664.36,665.28,661.86,663.68,73499015
2025-09-30,662.93,666.65,661.61,666.18,94151106
2025-10-01,663.17,669.37,663.06,668.45,72545400
2025-10-02,670.45,670.57,666.78,669.22,56896000
2025-10-03,669.99,672.68,668.16,669.21,70494400
2025-10-06,671.62,672.51,669.46,671.61,54623300
2025-10-07,672.54,672.99,667.67,669.12,72020100
2025-10-08,670.25,673.21,669.42,673.11,60702241
2025-10-09,673.53,673.94,669.21,671.16,66501941
2025-10-10,672.13,673.95,652.84,653.02,159422600
2025-10-13,660.65,665.13,659.77,663.04,79560517
2025-10-14,657.17,665.83,653.17,662.23,88779600
2025-10-15,666.82,670.23,658.93,665.17,81702600
2025-10-16,666.82,668.71,657.11,660.64,110563346
2025-10-17,659.5,665.76,658.14,664.39,96500900
2025-10-20,667.32,672.21,667.27,671.3,60493400
2025-10-21,671.44,672.99,669.98,671.29,56249034
2025-10-22,672,672,663.3,667.8,80564006
2025-10-23,668.12,672.71,667.8,671.76,65604500
2025-10-24,676.46,678.47,675.65,677.25,74356527
2025-10-27,682.73,685.54,682.12,685.24,63339800
2025-10-28,687.05,688.91,684.83,687.06,61738100
2025-10-29,688.72,689.7,682.87,687.39,85657100
2025-10-30,683.9,685.94,679.83,679.83,76335800
2025-10-31,685.04,685.08,679.24,682.06,87164122
2025-11-03,685.67,685.8,679.94,683.34,57315025
2025-11-04,676.11,679.96,674.58,675.24,78427000
2025-11-05,674.98,680.86,674.17,677.58,74402400
2025-11-06,676.47,677.38,668.72,670.31,85035300
2025-11-07,667.91,671.08,661.21,670.97,100592443
2025-11-10,677.24,682.18,675.03,681.44,75842900
2025-11-11,679.95,683.57,678.73,683,58953400
2025-11-12,684.79,684.96,680.95,683.38,62312500
2025-11-13,680.5,680.86,670.52,672.04,103457800
2025-11-14,665.38,675.66,663.27,671.93,96846700
2025-11-17,669.7,673.71,662.17,665.67,90456105
2025-11-18,662.1,665.12,655.86,660.08,114467500
2025-11-19,660.78,667.34,658.75,662.63,94703000
